"","time.list"
"1",15
"2",15
"3",14.2710816418442
"4",14.0407885862073
"5",13.5800197048478
"6",13.1575111333515
"7",12.919672072059
"8",12.8416046781951
"9",12.79086787443
"10",12.3975470470884
"11",11.7659262847711
"12",11.1372732997573
"13",10.9281425146873
"14",9.84468681875893
"15",9.37406326435615
"16",9.27012121523675
"17",9.03879023118859
"18",8.7914197558961
"19",8.45200958515608
"20",8.4464726140745
"21",8.39566715579105
"22",8.01093431360749
"23",7.86955680140413
"24",7.04264888981386
"25",6.85434468672408
"26",6.84523086442351
"27",6.68299790640444
"28",6.51963269888291
"29",6.38266154386361
"30",6.33881558557768
"31",6.33034109116948
"32",6.319173645842
"33",6.29146820763976
"34",6.00846349543622
"35",5.77623201896294
"36",5.6776246853153
"37",5.47536031616733
"38",5.2251682675327
"39",5.08036533196301
"40",4.58978787048402
"41",4.0089053566184
"42",3.88922591965078
"43",3.6375413492902
"44",3.61496664833628
"45",3.33827068908029
"46",3.22458634851707
"47",3.00554357268202
"48",2.76172929975132
"49",2.74104093997046
"50",2.42363395250544
"51",2.25976816361684
"52",2.1631626245815
"53",1.9501100640132
"54",1.90212716216899
"55",1.89620120456443
"56",1.32269662598443
"57",1.31096343970842
"58",1.07511732544234
"59",0.601060635797465
"60",0.556226623377079
"61",0.498524502950987
"62",0.0520291831205775
"63",0
